run_id,agent,env,trial,state,sharpe,mean_pnl,std_pnl,n_train_steps,n_eval_episodes,p_learning_rate,p_n_steps,p_batch_size,p_n_epochs,p_gamma,p_ent_coef,p_clip_range,p_gae_lambda
tuned_v1,PPOAgent,ABMRegimeEnv,3,COMPLETE,-1.071594,-23.1927,21.6432,30000,5,0.0009717775305059633,2048,128,10,0.9597899978811085,0.058293845429947415,0.2,0.8650660661526529
tuned_v1,PPOAgent,ABMRegimeEnv,4,COMPLETE,0.211217,2.5193,11.9278,30000,5,0.00014656553886225324,1024,512,2,0.9986886936600518,0.020736445177905034,0.3,0.9413714687695235
tuned_v1,PPOAgent,ABMRegimeEnv,5,COMPLETE,-0.333732,-13.0294,39.0414,30000,5,0.0015382308040279,512,128,2,0.9310982321715663,0.0009452571391072313,0.3,0.8944429850323898
tuned_v1,PPOAgent,ABMRegimeEnv,6,COMPLETE,0.790636,7.9049,9.9982,30000,5,2.284455685002053e-05,1024,64,2,0.9107891426993304,0.000124247470836602,0.1,0.9815132947852186
tuned_v1,PPOAgent,ABMRegimeEnv,7,COMPLETE,-0.333384,-5.4024,16.2047,30000,5,5.59598687800608e-05,1024,512,9,0.9633403756510424,0.04115113049561091,0.3,0.9078684483831302
tuned_v1,PPOAgent,ABMRegimeEnv,8,COMPLETE,-0.193541,-6.7605,34.9303,30000,5,0.0026443593078398627,512,512,2,0.9510747302577566,0.0017874463256238437,0.3,0.9885819407825038
tuned_v1,PPOAgent,ABMRegimeEnv,9,COMPLETE,0.506814,7.3127,14.4288,30000,5,9.324140221663491e-05,1024,64,4,0.9284840494377468,0.0001290211302456716,0.1,0.8557292928473224
tuned_v1,PPOAgent,ABMRegimeEnv,10,COMPLETE,0.434554,4.8585,11.1805,30000,5,1.1557089002178087e-05,1024,256,4,0.9014744263333857,0.005940003250057244,0.1,0.9953354271899573
tuned_v1,PPOAgent,ABMRegimeEnv,11,COMPLETE,-0.302876,-5.0659,16.7259,30000,5,1.5777378849274097e-05,512,64,7,0.9841172918467399,0.0004370071454073298,0.1,0.9509293219544905
tuned_v1,PPOAgent,ABMRegimeEnv,12,COMPLETE,0.69103,5.2747,7.633,30000,5,0.00019835302331625498,512,256,6,0.9097360156450895,0.00010916435423217704,0.1,0.8097665721634273
tuned_v1,PPOAgent,ABMRegimeEnv,13,COMPLETE,-0.244307,-3.5264,14.4344,30000,5,0.005901655117482604,512,256,5,0.9055634012198527,0.0005042934151742493,0.1,0.8009038737828854
tuned_v1,PPOAgent,ABMRegimeEnv,14,COMPLETE,-0.403072,-12.1885,30.2391,30000,5,0.00030952090692393534,2048,256,4,0.916421441786859,0.00450052929642906,0.2,0.9512032731222649
tuned_v1,PPOAgent,ABMRegimeEnv,15,COMPLETE,-0.06335,-2.0116,31.7529,30000,5,0.0003462113942468607,1024,256,6,0.9228987684732575,0.0003210348338017851,0.1,0.9075931223542982
tuned_v1,PPOAgent,ABMRegimeEnv,16,COMPLETE,0.718673,21.7641,30.2837,30000,5,2.8433174662338107e-05,512,64,3,0.9141584241652352,0.0008900521150961466,0.1,0.88340294698464
tuned_v1,PPOAgent,ABMRegimeEnv,17,COMPLETE,1.551495,24.9947,16.1101,30000,5,3.4122785014296476e-05,512,64,3,0.9325710801653143,0.0014665861669762496,0.1,0.8837682963231175
tuned_v1,PPOAgent,ABMRegimeEnv,18,COMPLETE,0.618861,11.9887,19.3723,30000,5,2.317115060075943e-05,1024,64,3,0.9377344151347202,0.00914384483021716,0.2,0.9310826236523487
tuned_v1,PPOAgent,ABMRegimeEnv,19,COMPLETE,0.139206,4.0449,29.0571,30000,5,6.088433506616842e-05,2048,64,3,0.9226859988224999,0.0026083611650423123,0.1,0.9769459460503356
tuned_v1,PPOAgent,ABMRegimeEnv,20,COMPLETE,-0.421557,-11.9752,28.4072,30000,5,1.2062225687771905e-05,512,64,2,0.9301030493325267,0.0011669070575948599,0.1,0.9265260785524637
